player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team,recent_form_zscore,consistency_premium,age_factor,usage_proxy,upside_ratio,floor_reliability,projected_fp,proj_p10,proj_p25,proj_p50,proj_p75,proj_p90,upside,downside,risk_reward_ratio,projection_range,adjusted_projection,vorp,scarcity_adjusted_value,draft_score,overall_rank
Nikola Vučević,vucevni01,24.426953388987314,24.2,54.0,38.57534246575342,38.0,10.60358921944697,0.27487997621435684,0.3157894736842105,73.0,25.982444538555267,8.360191436804964,3.0785622130668213,3.69425295114696,6.414317953021953,73,False,Team.CHICAGO_BULLS,-1.0852588530187848,2.667520442404741,1.0,15.133006601018746,1.3644859813084114,0.6114918656974732,39.17795182687553,31.071653,38.46487,38.548683,38.691334,38.942406,0.39372253,7.47703,0.046445813,7.8707523,37.921452628046744,22.241261372396465,15.628065976172945,29.572371714183586,38
Tyrese Maxey,maxeyty01,28.771176800743774,29.0,63.0,45.94230769230769,47.5,14.499885227050354,0.31561072909444055,0.4105263157894737,52.0,37.43928383771757,25.358623864493254,1.3793990616207286,4.909597020828207,57.19001987553881,52,False,Team.PHILADELPHIA_76ERS,-0.5485862462872095,2.4060976533951965,1.0,31.64761994694219,1.3420729209340434,0.6177795985251946,46.71425073653886,29.595285,45.61924,46.12809,46.22056,47.23631,1.1082191,16.532804,0.06320832,17.641024,33.35630609607106,17.67611484042078,11.06291944419726,29.55403078384573,39
Josh Giddey,giddejo01,23.497773966549047,21.8,57.2,39.7,40.5,14.46113016725476,0.36426020572430123,0.4382716049382716,70.0,18.002770969787793,8.717878148024962,3.1243187156900927,3.4502118823215056,8.604655840098042,70,False,Team.CHICAGO_BULLS,-1.403340428254393,2.153964495922886,1.0,15.29240874603656,1.4054054054054055,0.5356265356265356,40.32618656951041,30.540285,39.727715,39.730114,39.783653,40.287544,0.55743027,9.189829,0.054704577,9.747259,38.591221785639306,22.911030529989027,16.297835133765506,29.169695928645147,40
Jaren Jackson Jr.,jacksja02,24.079535214113267,24.3,50.0,38.054054054054056,38.0,11.187459064568795,0.2939886259865379,0.3092105263157895,74.0,13.137151616384457,1.9862804434003998,1.6194527427227052,3.119381738861482,8.98185072552988,74,False,Team.MEMPHIS_GRIZZLIES,-2.0444706567349757,2.5381443372788346,1.0,6.725114924984587,1.2802768166089964,0.6222145328719723,38.674538857491044,31.108437,38.050034,38.060135,38.035145,38.594547,0.5344124,6.9516983,0.06720733,7.4861107,36.93769418300759,21.257502927357315,14.644307531133794,29.025072272950887,41
Julius Randle,randlju01,22.450547271781023,23.0,49.0,34.98550724637681,34.0,9.711031757036908,0.2775729872558188,0.29411764705882354,69.0,34.036269353403824,24.93454105381292,3.648746040509769,3.3667893587806326,23.564459075409808,69,True,Team.MINNESOTA_TIMBERWOLVES,-0.08862245155321849,2.6484945527166786,1.0,31.95007645310332,1.3616592831252516,0.639146194120016,35.52580297593512,29.45973,35.06014,35.5724,35.049328,34.96269,-0.6097107,6.112669,-0.08572178,5.5029583,31.34007132419765,15.659880068547368,9.046684672323849,28.35545983581479,42
Jimmy Butler,butleji01,23.03974515187735,24.0,53.0,37.58181818181818,36.0,14.755819695158687,0.3926318738431194,0.5555555555555556,110.0,27.100071448755273,15.982055468800304,1.4641359501972913,2.461588936986905,11.249698527804139,110,False,Team.GOLDEN_STATE_WARRIORS,-0.6652619118435106,2.029913314781686,1.0,19.907780355984503,1.3737040527803959,0.6220546654099907,38.211004696060996,29.98023,37.462654,37.607216,37.97466,37.905495,0.2982788,7.6269855,0.03457509,7.9252644,36.061693279685024,20.381502024034745,13.768306627811224,28.25563167613543,43
Kyrie Irving,irvinky01,27.994965603914146,30.9,55.2,41.84,40.0,10.975171980429282,0.262312905842,0.35,50.0,42.23458810419665,19.573706835363232,-89.49999999999936,-5.379561736624701,58.41831606343911,50,False,Team.DALLAS_MAVERICKS,0.03295051668915615,2.7600452091985015,1.0,-75.30585490126083,1.2885154061624648,0.7212885154061623,42.60209806244946,29.667233,41.840942,41.834232,41.84148,41.850433,0.01620102,12.167,0.001230426,12.183201,30.158383914560464,14.478192658910183,7.864997262686664,28.17479755653175,44
DeMar DeRozan,derozde01,22.86131443818711,21.6,52.0,37.25974025974026,36.0,11.242778458415096,0.30174065573299486,0.4444444444444444,77.0,35.355436976205695,26.55358073862268,-1.343433477345373,-4.463228791573179,6.601911824837867,77,False,Team.SACRAMENTO_KINGS,-0.15554502517568966,2.489168038458673,1.0,20.746918469704127,1.3591310251188051,0.5645621181262729,37.7935370934844,31.363503,37.236435,37.248653,37.260212,37.261635,0.012981415,5.885151,0.0018854219,5.8981323,36.545989096284785,20.865797840634507,14.252602444410986,27.978819435618597,45
Jalen Green,greenja05,20.104303151669512,19.0,48.80000000000001,33.59756097560975,34.0,11.972386680676825,0.3563468993885662,0.45588235294117646,82.0,7.971834994771193,3.5374500352087175,-0.7474500813345626,-0.3085938819758338,8.518628873708982,82,True,Team.HOUSTON_ROCKETS,-1.9754056529173363,2.1913154254797047,1.0,2.481406071898321,1.4105040535777233,0.5491716602044414,34.08554371261408,30.633104,33.580784,33.597546,34.099,33.620655,0.023109436,2.9644413,0.0058291787,2.9875507,32.63373322838236,16.953541972732083,10.340346576508562,27.455565437676636,46
Miles Bridges,bridgmi02,23.518131342403453,24.0,53.7,37.625,35.0,12.471843287982734,0.3314775624713019,0.4642857142857143,64.0,34.441444905167764,6.998194354851217,5506.040847777957,2.480789036117323,22.522027106618076,64,False,Team.CHARLOTTE_HORNETS,-0.2363117672005625,2.317617616713294,1.0,5515.5198311689255,1.3902912621359225,0.6213592233009708,38.23830214431045,32.35008,37.583252,37.625225,37.69684,37.95636,0.3311348,5.2751465,0.052769255,5.6062813,33.93228175728439,18.252090501634115,11.638895105410594,27.38050126729507,47
